月份,產品類別,每月完成數,逐月累積數,,月份,項目,累積完成數,,,項目,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
01月,2025旅遊商品(國內),30,30,,1月,2025旅遊商品累積上架數,39,,,2025旅遊商品累積上架數,39,69,101,166,219,265,308,352,417,491,529,567
02月,2025旅遊商品(國內),22,52,,2月,2025旅遊商品累積上架數,69,,,2025系統產品累積上架數,43,81,101,136,162,187,212,259,288,332,369,436
03月,2025旅遊商品(國內),20,72,,3月,2025旅遊商品累積上架數,101,,,2025專案服務產品累積上架數,7,49,59,96,113,134,184,193,201,232,249,286
04月,2025旅遊商品(國內),34,106,,4月,2025旅遊商品累積上架數,166,,,2026旅遊商品累積上架數,40,56,84,120,159,,,,,,,
05月,2025旅遊商品(國內),51,157,,5月,2025旅遊商品累積上架數,219,,,2026系統產品累積上架數,9,34,56,66,56,,,,,,,
06月,2025旅遊商品(國內),38,195,,6月,2025旅遊商品累積上架數,265,,,2026專案服務產品累積上架數,35,140,288,315,388,,,,,,,
07月,2025旅遊商品(國內),36,231,,7月,2025旅遊商品累積上架數,308,,,,,,,,,,,,,,,
08月,2025旅遊商品(國內),37,268,,8月,2025旅遊商品累積上架數,352,,,,,,,,,,,,,,,
09月,2025旅遊商品(國內),53,321,,9月,2025旅遊商品累積上架數,417,,,,,,,,,,,,,,,
10月,2025旅遊商品(國內),67,388,,10月,2025旅遊商品累積上架數,491,,,,,,,,,,,,,,,
11月,2025旅遊商品(國內),32,420,,11月,2025旅遊商品累積上架數,529,,,,,,,,,,,,,,,
12月,2025旅遊商品(國內),24,444,,12月,2025旅遊商品累積上架數,567,,,,,,,,,,,,,,,
01月,2025旅遊商品(海外),9,9,,1月,2025系統產品累積上架數,43,,,,,,,,,,,,,,,
02月,2025旅遊商品(海外),8,17,,2月,2025系統產品累積上架數,81,,,,,,,,,,,,,,,
03月,2025旅遊商品(海外),12,29,,3月,2025系統產品累積上架數,101,,,,,,,,,,,,,,,
04月,2025旅遊商品(海外),31,60,,4月,2025系統產品累積上架數,136,,,,,,,,,,,,,,,
05月,2025旅遊商品(海外),2,62,,5月,2025系統產品累積上架數,162,,,,,,,,,,,,,,,
06月,2025旅遊商品(海外),8,70,,6月,2025系統產品累積上架數,187,,,,,,,,,,,,,,,
07月,2025旅遊商品(海外),7,77,,7月,2025系統產品累積上架數,212,,,,,,,,,,,,,,,
08月,2025旅遊商品(海外),7,84,,8月,2025系統產品累積上架數,259,,,,,,,,,,,,,,,
09月,2025旅遊商品(海外),12,96,,9月,2025系統產品累積上架數,288,,,,,,,,,,,,,,,
10月,2025旅遊商品(海外),7,103,,10月,2025系統產品累積上架數,332,,,,,,,,,,,,,,,
11月,2025旅遊商品(海外),6,109,,11月,2025系統產品累積上架數,369,,,,,,,,,,,,,,,
12月,2025旅遊商品(海外),14,123,,12月,2025系統產品累積上架數,436,,,,,,,,,,,,,,,
01月,2025專案產品,7,7,,1月,2025專案服務產品累積上架數,7,,,,,,,,,,,,,,,
02月,2025專案產品,42,49,,2月,2025專案服務產品累積上架數,49,,,,,,,,,,,,,,,
03月,2025專案產品,10,59,,3月,2025專案服務產品累積上架數,59,,,,,,,,,,,,,,,
04月,2025專案產品,37,96,,4月,2025專案服務產品累積上架數,96,,,,,,,,,,,,,,,
05月,2025專案產品,17,113,,5月,2025專案服務產品累積上架數,113,,,,,,,,,,,,,,,
06月,2025專案產品,21,134,,6月,2025專案服務產品累積上架數,134,,,,,,,,,,,,,,,
07月,2025專案產品,50,184,,7月,2025專案服務產品累積上架數,184,,,,,,,,,,,,,,,
08月,2025專案產品,9,193,,8月,2025專案服務產品累積上架數,193,,,,,,,,,,,,,,,
09月,2025專案產品,8,201,,9月,2025專案服務產品累積上架數,201,,,,,,,,,,,,,,,
10月,2025專案產品,31,232,,10月,2025專案服務產品累積上架數,232,,,,,,,,,,,,,,,
11月,2025專案產品,17,249,,11月,2025專案服務產品累積上架數,249,,,,,,,,,,,,,,,
12月,2025專案產品,37,286,,12月,2025專案服務產品累積上架數,286,,,,,,,,,,,,,,,
01月,2025雙系統串接產品,26,26,,1月,2026旅遊商品累積上架數,40,,,,,,,,,,,,,,,
02月,2025雙系統串接產品,22,48,,2月,2026旅遊商品累積上架數,56,,,,,,,,,,,,,,,
03月,2025雙系統串接產品,6,54,,3月,2026旅遊商品累積上架數,84,,,,,,,,,,,,,,,
04月,2025雙系統串接產品,10,64,,4月,2026旅遊商品累積上架數,120,,,,,,,,,,,,,,,
05月,2025雙系統串接產品,19,83,,5月,2026旅遊商品累積上架數,159,,,,,,,,,,,,,,,
06月,2025雙系統串接產品,28,111,,6月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
07月,2025雙系統串接產品,11,122,,7月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
08月,2025雙系統串接產品,28,150,,8月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
09月,2025雙系統串接產品,13,163,,9月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
10月,2025雙系統串接產品,25,188,,10月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
11月,2025雙系統串接產品,23,211,,11月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
12月,2025雙系統串接產品,25,236,,12月,2026旅遊商品累積上架數,,,,,,,,,,,,,,,,
01月,2025系統分潤場域上架產品,17,17,,1月,2026系統產品累積上架數,9,,,,,,,,,,,,,,,
02月,2025系統分潤場域上架產品,16,33,,2月,2026系統產品累積上架數,34,,,,,,,,,,,,,,,
03月,2025系統分潤場域上架產品,14,47,,3月,2026系統產品累積上架數,56,,,,,,,,,,,,,,,
04月,2025系統分潤場域上架產品,25,72,,4月,2026系統產品累積上架數,66,,,,,,,,,,,,,,,
05月,2025系統分潤場域上架產品,4,76,,5月,2026系統產品累積上架數,86,,,,,,,,,,,,,,,
06月,2025系統分潤場域上架產品,14,90,,6月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
07月,2025系統分潤場域上架產品,19,109,,7月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
08月,2025系統分潤場域上架產品,16,125,,8月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
09月,2025系統分潤場域上架產品,0,125,,9月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
10月,2025系統分潤場域上架產品,19,144,,10月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
11月,2025系統分潤場域上架產品,14,158,,11月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
12月,2025系統分潤場域上架產品,42,200,,12月,2026系統產品累積上架數,,,,,,,,,,,,,,,,
01月,2026旅遊商品(國內),30,30,,1月,2026專案服務產品累積上架數,35,,,,,,,,,,,,,,,
02月,2026旅遊商品(國內),14,44,,2月,2026專案服務產品累積上架數,140,,,,,,,,,,,,,,,
03月,2026旅遊商品(國內),20,64,,3月,2026專案服務產品累積上架數,288,,,,,,,,,,,,,,,
04月,2026旅遊商品(國內),26,90,,4月,2026專案服務產品累積上架數,315,,,,,,,,,,,,,,,
05月,2026旅遊商品(國內),34,124,,5月,2026專案服務產品累積上架數,388,,,,,,,,,,,,,,,
06月,2026旅遊商品(國內),,124,,6月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
07月,2026旅遊商品(國內),,124,,7月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
08月,2026旅遊商品(國內),,124,,8月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
09月,2026旅遊商品(國內),,124,,9月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
10月,2026旅遊商品(國內),,124,,10月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
11月,2026旅遊商品(國內),,124,,11月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
12月,2026旅遊商品(國內),,124,,12月,2026專案服務產品累積上架數,,,,,,,,,,,,,,,,
01月,2026旅遊商品(海外),10,10,,,,,,,,,,,,,,,,,,,
02月,2026旅遊商品(海外),2,12,,,,,,,,,,,,,,,,,,,
03月,2026旅遊商品(海外),8,20,,,,,,,,,,,,,,,,,,,
04月,2026旅遊商品(海外),10,30,,,,,,,,,,,,,,,,,,,
05月,2026旅遊商品(海外),5,35,,,,,,,,,,,,,,,,,,,
06月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
07月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
08月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
09月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
10月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
11月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
12月,2026旅遊商品(海外),,35,,,,,,,,,,,,,,,,,,,
01月,2026專案產品,35,35,,,,,,,,,,,,,,,,,,,
02月,2026專案產品,105,140,,,,,,,,,,,,,,,,,,,
03月,2026專案產品,148,288,,,,,,,,,,,,,,,,,,,
04月,2026專案產品,27,315,,,,,,,,,,,,,,,,,,,
05月,2026專案產品,73,388,,,,,,,,,,,,,,,,,,,
06月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
07月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
08月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
09月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
10月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
11月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
12月,2026專案產品,,388,,,,,,,,,,,,,,,,,,,
01月,2026雙系統串接產品,4,4,,,,,,,,,,,,,,,,,,,
02月,2026雙系統串接產品,18,22,,,,,,,,,,,,,,,,,,,
03月,2026雙系統串接產品,17,39,,,,,,,,,,,,,,,,,,,
04月,2026雙系統串接產品,6,45,,,,,,,,,,,,,,,,,,,
05月,2026雙系統串接產品,18,63,,,,,,,,,,,,,,,,,,,
06月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
07月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
08月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
09月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
10月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
11月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
12月,2026雙系統串接產品,,63,,,,,,,,,,,,,,,,,,,
01月,2026系統分潤場域上架產品,5,5,,,,,,,,,,,,,,,,,,,
02月,2026系統分潤場域上架產品,7,12,,,,,,,,,,,,,,,,,,,
03月,2026系統分潤場域上架產品,5,17,,,,,,,,,,,,,,,,,,,
04月,2026系統分潤場域上架產品,4,21,,,,,,,,,,,,,,,,,,,
05月,2026系統分潤場域上架產品,2,23,,,,,,,,,,,,,,,,,,,
06月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,
07月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,
08月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,
09月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,
10月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,
11月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,
12月,2026系統分潤場域上架產品,,23,,,,,,,,,,,,,,,,,,,